Abreviatura,Significado,Palabra
NOMBRE VIA,Vías_de_nombre_común,"VIA LA CALERA, VIA BOGOTA. VIA FGGTA, VIA LADRILLERA, VIA PARCELAS, VIA SANTANA, VIA VILLAVICENCIO - BOGOTA KILOMETRO, VIA PARQUE CENTRAL, VIA EL CERRITO, VIA CAFE, VIA CARCEL MODELO F, VIA DUITAMA, VIA GUACAS EL JAZMIN, VIA 40-190, VIA PALENQUE, VIA HUEVOS ORO, via puente peralta, VIA MARTICAS, VIA GUATEQUE, VIA BGTA - GIRARDOT PREDIO, VPA CONDINA, via Granabastos, VIA UREÑA TORRE, VIA DUITAMA BELENCI, VIA ZIPAQUIRA, VIA RIOHACHA - TRONC, VIA MONIQUIRA - BARBOSA, VIA A LA VIGINIA, VIA LA TEBAIDA, VIA SA, Via Crv, VIA PR, VIA MESITAS, VIA CAJICA, VIA SABANADE TORRES, VIA SANTA MA, VIA BOGOTA RICAURTE, VIA EL PORTICO, VIA AL  AGRADO, VIA PALMIRA EL CERRITO, VIA MAICAO, VIA AL CEMENTERIO, VIA ARMENIA, VIA MONTERIA, VIA COMERCIAL, VIA ANAPOMA, VIA MAJAGUAL, VIA AL MAGDALE, VIA PEATONAL, VIA PEREIRA, VIA TRONCAL DEL CARIBE, VIA AL MAR, VIA PRINCIPAL, VIA UBATE, VIA TITAN, VIA DAGUA, VIA PALENQUE CAFE MADRID, VIA TUNJA, VIA AL SUR, VIA CALI CANDELARIA, VIA USME, VIA MELGAR, VIA IB, VIA ECOPETROL, VIA LLANOGRANDE, VIA TIBACUY, VIA ANILLO, VIA SOPO, VIA PUERTO TEJADA, VIA ALBAN SASAIMA, VIA SILVANA SUBIA EL VERGEL, VIA TOM HOOKER, VIA SAN GIL BUCARAMANGA, VIA PASCA, VIA QUIBA KILOMETRO, VIA CIENEGA, VIA PONEDERA - PALMAR D, VIA MOSQUERA, VIA LA PINTADA, VIA T, VIA LA CEJA, VIA COTA, VIA PUEBLO TAPAO, VIA LA VORAGINE, VIA 40, VIA SAN MARTIN, via 40, VIA BUCARAMANGA, VIA CALI, VIA AL VALLE, VIA RIO, VIA CERROMATOSO, VIA BOGOTÁ - MESI, VIA A L, VIA SAN LUIS, VIA PEÑOL, VIA VILLA ROSA MANATI, VIA km 2.5, VIA CIENAGA DE ORO LA YE, VIA VILLA VICENCIO, VIA PALENCIA CAFÉ MADRID, VIA SUBA, VIA DUITAMA BELENCITO, VIA CHIA CAJICA, Via 40, VIA  PEREIRA, VIA PANAMERICANA"
NORTE,Norte,"NT, NTE, AN, N"
O,Oriente,ORIENTAL
OCC,Occidente,"Occidente, OCCIDENTAL, OCCIDENTE, OCC."
OESTE,Oeste,"Oeste, OO"
OF,Oficina,"OFICINA, Ofc, Oficina, OFC, Of, OFIC, OFC., OF.,OFI, OFIC.,, oficina"
P,Piso,"piso, PI, Piso, PIS, P., PISO, NIVEL"
PA,Parcela,PARCELA
PAR,Parque,"PARQUE, PQ,"
PD,Predio,
PH,Penthouse,
PJ,Pasaje,PASAJE
PL,Planta,PLANTA
PN,Puente,
POR,Portería,
POS,Poste,
PQ,Parqueadero,
PRJ,Paraje,
PS,Paseo,
PT,Puesto,
PW,Park_Way,
RP,Round_Point,
SA,Salón,
SC,Salón_comunal,
SD,Salida,
SEC,Sector,"SECT, SECTOR, SEC.,, sector, SC"
SL,Solar,
SM,Súper_manzana,
SS,Semisótano,
ST,Sótano,
SUITE,Suite,
SUR,Sur,"Sur, SIR, sur"
TER,Terminal,"TERMINAL, TERM"
TERPLN,Terraplén,
TO,Torre,"Torre, torre, TP, TRR, TORRE, T"
TV,Transversal,"Transversa, TRANSVERSAL, TRANOV, Tranversal, TRN, TRANS, transversal, tv, TR, Tran, TV., tranvesarl, TRAS, Transversal, TRASVERSAL, TRAVERSAL, TRANSV, TRV., trasversal, TRANV, Trv., Transv., Tranv, tranvesal, TRAV, TRV"
TZ,Terraza,
UN,Unidad,
UR,Unidad_residencial,
URB,Urbanización,"Urb., URBANIZACION, Urbanizaciónn, URB."
VRD,Vereda,"VDA, VD, VDA., Vereda, VER, VRDA., Vda, VEREDA, vereda"
VTE,Variante,"variante, VARIANTE, Variante"
ZF,Zona_franca,"ZONA FRANCA, Zon Franca, Zona franca"
ZN,Zona,ZONA
PT,Puestos,PTS
MT,Metro_-(Distancia),MTR
NO,Número,"N R O, NRO., NUMERO, NRO, Nro, No, N, N°, N0, NUM, #, NO., NR, N U M E R"
MP,Municipio,"MPIO, MCP, MUNICIPIO"
CP,Carril_Principal,
IN,INSPECCIÓN,"inspeccion, INSP, INSPECCION"
SA,Sala_de_venta,"SALA DE VENTA,"
PT,Puerto,"PTO, PUERTO"
DI,Division,DIV
AG,Agrupacion,AGP
